upc,type
8998009010224,beverages
8998009010552,beverages
8991001503114,food
8991001111609,food
8995077605543,food
8995077603433,food
8992775001042,food
11747233026,food
8995077600166,food
8992775204009,food
8992775203422,food
8992775001691,food
8992775210222,food
8996006861924,beverages
8998009040023,beverages
8996006862099,beverages
8996006000019,beverages
8996001600252,beverages
8996006858030,beverages
8996006853400,beverages
8997218380135,beverages
8992388133017,beverages
8998866610087,beverages
9556001299178,beverages
9556001299154,beverages
9556001047175,beverages
9556001295248,beverages
8991002121089,beverages
8991002121010,beverages
8991002125025,beverages
8991002122017,beverages
8991749000029,beverages
8996001600221,beverages
8992760221028,food
8886015203115,food
8996001304990,food
8996001302323,food
8990044000024,food
8801062636358,food
8888166339149,food
8996001313695,food
8994755020487,food
8992752112518,beverages
8991001121615,food
8996001354063,food
9556182023258,food
6914973002357,food
8992957246247,food
8996001354117,food
8991001663344,food
8992775002964,food
8991001111722,food
7622210816979,food
8992802123013,beverages
8992702070202,beverages
9556001051509,beverages
8998866202725,beverages
8992696404441,beverages
8998866200882,food
8998866203975,
